Sira,No,Enlem,Boylam,Mesafe (metre)
1,21491,38.709714,35.552545,4012.607668253548
2,32221,38.694468,35.549217,2910.3863620283587
3,32551,38.686098,35.544537,2912.625397204641
4,34648,38.683598,35.547565,2760.945084703177
5,34979,38.71804,35.560715,4278.153582187202
6,45814,38.702162,35.559672,2586.4663403953723
7,45815,38.687164,35.550951,2397.9250125973176
8,45820,38.698343,35.56209,2043.9375879774982
9,48814,38.700988,35.548052,3802.4180088084154
10,48815,38.687353,35.542635,3177.778853245209
11,48816,38.69512,35.544678,3163.9103218179207
12,48817,38.696653,35.543631,3411.892749101921
13,48818,38.705762,35.567009,2865.1129446848945
14,48819,38.698912,35.547992,3329.0644437211586
15,48820,38.701193,35.535305,4183.415689557453
16,48821,38.7114,35.567342,3411.506892757882
17,48822,38.69833,35.546088,3410.793440554949
18,48841,38.698913,35.546135,3541.2801108053814
19,49197,38.685962,35.545703,2743.151633631051
20,50509,38.683132,35.55513,1994.7724652649501
21,50511,38.689245,35.547813,2600.9509327233764
22,50513,38.687063,35.546002,2842.4211006235996
23,50518,38.717287,35.558672,4435.29074581463
24,50520,38.685613,35.555353,1760.6654869282554
25,50522,38.689161,35.550979,2323.3106227164144
26,51226,38.689893,35.546687,2693.1991337817253
27,51230,38.690155,35.545688,2795.895074227751
28,51232,38.687132,35.553012,2188.5192052684965
29,51234,38.690173,35.55017,2494.405791997849
30,51236,38.690879,35.54812,2686.8642448249384
31,51238,38.69344,35.546237,2956.090692620462
32,51239,38.707147,35.572967,2920.671627473734
33,51240,38.692951,35.552383,2497.8088719803523
34,51241,38.692877,35.550357,2564.253941337721
35,51243,38.713285,35.55491,4441.4383942144295
36,51244,38.713285,35.54758,4008.4130845121426
37,51248,38.690093,35.544108,2892.0825649969343
38,51249,38.703122,35.556314,2937.9978011924545
39,52730,38.703122,35.556314,2937.9978011924545
40,52731,38.706758,35.561263,2927.128932635723
41,52732,38.708935,35.567443,3052.9268027072276
42,52733,38.70742,35.543517,5054.411835116559
43,52734,38.703477,35.558763,2787.233534189364
44,52735,38.704928,35.570295,3104.4899615519753
45,52742,38.712582,35.56563,3786.3299231949113
46,52743,38.703132,35.555182,3027.193348102877
47,52745,38.70603,35.56948,2650.0894934349826
48,52746,38.706282,35.57061,2718.8787111612464
49,52749,38.701843,35.562127,2482.6957463057543
50,52751,38.687507,35.546833,2782.9986697002346
51,52753,38.696077,35.541513,3430.1895558767087
52,52754,38.6993,35.569075,2210.113876356675
53,52755,38.715882,35.560077,4054.47867430241
